exp_id,architecture,run_name,mae_mean_mean,mae_mean_std,mae_mean_count,mae_std_mean,mae_std_std,mae_std_count,mae_median_mean,mae_median_std,mae_median_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,rmse_std_mean,rmse_std_std,rmse_std_count,rmse_median_mean,rmse_median_std,rmse_median_count,r2_mean_mean,r2_mean_std,r2_mean_count,r2_std_mean,r2_std_std,r2_std_count,r2_median_mean,r2_median_std,r2_median_count,isc_error_abs_mean_mean,isc_error_abs_mean_std,isc_error_abs_mean_count,isc_error_abs_median_mean,isc_error_abs_median_std,isc_error_abs_median_count,voc_error_abs_mean_mean,voc_error_abs_mean_std,voc_error_abs_mean_count,voc_error_abs_median_mean,voc_error_abs_median_std,voc_error_abs_median_count,voc_prediction_rate_mean,voc_prediction_rate_std,voc_prediction_rate_count,train_time_s_mean,train_time_s_std,train_time_s_count,test_time_s_mean,test_time_s_std,test_time_s_count,total_time_s_mean,total_time_s_std,total_time_s_count,train_steps_mean,train_steps_std,train_steps_count,max_epochs_mean,max_epochs_std,max_epochs_count,batch_size_mean,batch_size_std,batch_size_count
T0-10-BS512,conv,T0-10-BS512_seed123,4.7462352160197865,0.2611206822389008,3,5.4003388870779405,0.12300209656242578,3,2.962003992747365,0.34467207443211845,3,6.660726796495986,0.2633228687956985,3,7.2044428131545075,0.1263890592773841,3,4.268325456437174,0.3373903813144187,3,0.9858290524994396,0.0009120405578917833,3,0.14595916793303146,0.18004422393905925,3,0.9975226671151708,0.00039895621100374573,3,0.586400564224952,0.5296036306276888,3,0.3586181004842122,0.6211447705524966,3,0.005623686082632931,0.005835405920085978,3,0.0003916133670099538,0.00016393791230374114,3,0.31784465264552897,0.2579974883608512,3,568.7745040391261,89.19527095938334,3,10.470544323325157,0.21852981142249442,3,596.3543170612926,88.66871403281803,3,17843.666666666668,3059.2542119499217,3,100.0,0.0,3,512.0,0.0,3
T0-2-Conv-NoDilation,conv,T0-2-Conv-NoDilation_seed123,5.354194341959309,0.22152419768208023,3,5.501338984571318,0.2358455243852859,3,3.5963756773273112,0.36034327251456355,3,7.425392670110864,0.1107086728281783,3,7.421997906073055,0.3293757215647819,3,4.998296517059306,0.3152724856255196,3,0.9834730102718554,0.0006478311861988272,3,0.16233946037886102,0.20006551130303138,3,0.9967046917858942,0.0004044149385851495,3,0.870019648256676,0.5075719750128331,3,0.6607463459173838,0.62670541040793,3,0.012368497709875128,0.012590596526616857,3,0.0005974482353755806,0.0003865308209616605,3,0.3985223654941264,0.3797380591556627,3,1415.8856552004193,229.58565957289463,3,11.14571693384399,0.10912578110833684,3,1445.4529698028539,230.5837114800275,3,42560.0,7240.869837250219,3,100.0,0.0,3,128.0,0.0,3
T0-9-200epochs,conv,T0-9-200epochs_seed123,5.3683541797458645,0.2816790667027231,3,5.273520963839794,0.17053494064517133,3,3.6939717757213657,0.2893734215440903,3,7.406093094232325,0.3502888714760971,3,7.1329928571382455,0.16768414421724204,3,5.112921102290234,0.3408135252169889,3,0.984238060578011,0.0008440261278949034,3,0.1656052674031926,0.21184482422751263,3,0.9965378080636652,0.00045471531519724744,3,1.1162420806396351,0.41024277504402945,3,0.8322598735491434,0.7458025895362795,3,0.01174897740307279,0.008311792817909695,3,0.001427303594735659,0.0014962538554771814,3,0.7422722323818918,0.25948922500768584,3,1451.1644627951707,321.34707501270873,3,11.443885295651853,0.380860675702626,3,1479.4815230521683,319.8233615665479,3,44156.0,9913.631221706806,3,200.0,0.0,3,128.0,0.0,3
T0-7-NoScalars,conv,T0-7-NoScalars_seed123,5.403079694412824,0.3218688741314923,3,5.514330918886404,0.051333910356496835,3,3.629561475939468,0.3422945941905267,3,7.5289116417515585,0.22677729921451906,3,7.44805239484788,0.13605482979989944,3,5.102164133775904,0.2317648214285372,3,0.9835406234417325,0.0014028381953912477,3,0.12601208912808315,0.14230136984415617,3,0.996607771257803,0.00026112965173835634,3,1.4475480329153267,1.2890455930612097,3,1.2017473379770915,1.507343961992167,3,0.011975599911371149,0.008308502616133907,3,0.0008593479464893786,0.0003289765519657482,3,0.6528797936494676,0.18245685618231286,3,1440.4248256168019,121.62117424840453,3,11.421171417459846,0.30243871903725195,3,1469.631439250273,121.07699273148138,3,43358.0,3771.2008697495817,3,100.0,0.0,3,128.0,0.0,3
T0-1-Conv-Dilated,conv,T0-1-Conv-Dilated_seed123,5.412775277943594,0.49283172599262004,3,5.339211410489232,0.2934121058481805,3,3.7400816885444024,0.6311338697400352,3,7.4666506044609315,0.40635576337695933,3,7.210547006193779,0.4017983304561517,3,5.1745517810911394,0.5119508883342795,3,0.9839757862323122,0.0024299129223974637,3,0.16499061002243914,0.21218039619548473,3,0.9964442057456354,0.0006847916393392863,3,0.5578358707032782,0.25598605198844276,3,0.0,0.0,3,0.011018932126875838,0.003427320720555392,3,0.0010445274461954497,0.0002997371290221172,3,0.560273284280803,0.3957557539312924,3,1358.4296272086601,149.0221410835248,3,11.190625329191485,0.14020532398548774,3,1387.515703796409,149.97789946690304,3,40964.0,4675.853291111687,3,100.0,0.0,3,128.0,0.0,3
T0-3-TCN-Dilated,tcn,T0-3-TCN-Dilated_seed123,5.486364173619534,0.5824679455999704,3,5.585014903567223,0.2016655087057155,3,3.675101400197794,0.6653483421299767,3,7.624539180787761,0.4670933880272633,3,7.5227997339436685,0.280960068594582,3,5.139174867769101,0.5625867688005323,3,0.9825881426889548,0.0014248418230904047,3,0.1803106071732521,0.2294279686142616,3,0.9964951384136004,0.0007228573422200192,3,1.162755776494391,1.6036588000033078,3,0.9384507735570272,1.6254444202030864,3,0.008944176136190947,0.004624454765172538,3,0.0015089514663421122,0.0016771668860496808,3,0.7226228358468342,0.2902081594860235,3,1665.6835053181276,766.7800777144724,3,11.496106662477056,0.07442373841837946,3,1694.623698783107,766.3575009790513,3,48146.0,22177.12686530877,3,100.0,0.0,3,128.0,0.0,3
T0-8-100kOnly,conv,T0-8-100kOnly_seed123,6.784272571484334,0.2532346008374545,3,6.663294320821343,0.2045163333882536,3,4.573513843856442,0.25847000910127266,3,9.090929243010931,0.19749611450964122,3,8.715112710386562,0.23031955688131148,3,6.186588419430378,0.12284553459490824,3,0.9769848188620586,0.0013081948652884784,3,0.05769968682364584,0.004452827066739806,3,0.994784063867873,8.665558323142129e-05,3,1.2798549932565464,0.6674897197776964,3,1.0219042897224426,0.9803004848057024,3,0.004739738159624309,0.004540742676801436,3,0.0008579980890146369,0.0005844995851668214,3,0.641594173951712,0.295021165264208,3,623.1327901870633,67.14804850403189,3,4.800817279455562,0.037789339661823955,3,634.8686156049371,67.01135976987827,3,19049.333333333332,1918.5716909548453,3,100.0,0.0,3,128.0,0.0,3
T0-5-Conv-Attn,conv,T0-5-Conv-Attn_seed123,7.6009420411245925,0.29058940449553894,3,5.820066714054015,0.13305956810633282,3,5.944716994974679,0.3031507745193285,3,10.305851869977602,0.32508326872348087,3,7.860806610538668,0.23310785572014034,3,8.06528126352138,0.35106788103644365,3,0.9762747580111117,0.0029232542710564443,3,0.1866663774890275,0.24170205744452644,3,0.9914432087702169,0.0006216740011221941,3,1.8208198308233328,0.6177004750378355,3,1.5869038899739583,0.6502432971445943,3,0.039884914901284686,0.058980456822050394,3,0.023667985794655084,0.039868800415549785,3,0.41958142056056325,0.3899028219454044,3,835.08319409471,15.41790415089686,3,11.252248486193517,0.14999355095129258,3,862.689358859323,15.692933948757213,3,22610.0,460.72551481332135,3,100.0,0.0,3,128.0,0.0,3
T0-6-TCN-Attn,tcn,T0-6-TCN-Attn_seed123,7.604557336103387,0.5528702774378023,3,5.938012807624072,0.18928304670292714,3,5.892956673589576,0.614905713399014,3,10.25548745890996,0.07763312676392349,3,7.995909006119802,0.34074899633622,3,7.924154696846746,0.20574877917643716,3,0.9762062540296289,0.001985732243301767,3,0.17608723198461376,0.2226855505071345,3,0.9916878754021562,0.0005381938716763227,3,2.079092053701389,2.303348242623025,3,1.4937163591384888,2.5871926261246627,3,0.015957571383445345,0.010145441564995706,3,0.002124020860363581,0.0025256750654748116,3,0.6110819661746882,0.5046997060050425,3,819.0627642792339,16.463026241897264,3,11.26069008310636,0.2048866943181593,3,847.3132652972514,17.23538209336929,3,22078.0,460.72551481332135,3,100.0,0.0,3,128.0,0.0,3
T0-4-Pointwise,pointwise,T0-4-Pointwise_seed123,8.152900084639993,0.06578990446240161,3,6.013834196595536,0.12944730831356438,3,6.477170336325419,0.03960217432175731,3,11.235191734886376,0.1847548527346358,3,8.170876306576803,0.1698687794392293,3,8.967596993235375,0.1468633663741631,3,0.9702241936088057,0.004588355636654642,3,0.3996434275342409,0.5990859536749391,3,0.9890454226251851,0.0003968740370219517,3,1.7505080742160113,0.6860202026020034,3,1.3118528525034587,1.1833417928564507,3,0.02507479278534593,0.006414023196610347,3,0.006112535708009625,0.0013512245434212054,3,0.746592879260031,0.028176211894704237,3,2452.4341048017764,224.637587228023,3,11.089639063924551,0.17654825325096446,3,2480.703764839098,224.69143623091455,3,68096.0,6042.358479931491,3,100.0,0.0,3,128.0,0.0,3
